BHCMIS.ID,Year,T6B_L1_CSAA,T6B_L2_CSAA,T6B_L3_CSAA,T6B_L4_CSAA,T6B_L5_CSAA,T6B_L6_CSAA,T6B_L7_CSBA,T6B_L8_CSBA,T6B_L9_CSBA,T6B_L7_CSBB,T6B_L8_CSBB,T6B_L9_CSBB,T6B_L10_CSCA,T6B_L10_CSCB,T6B_L10_CSCC,T6B_L11_CSDA,T6B_L11_CSDB,T6B_L11_CSDC,T6B_L10_N_CC,T6B_L10_D_CC,T6B_L11_N_CC,T6B_L11_D_CC,T6B_L1_CA,T6B_L2_CA,T6B_L3_CA,T6B_L4_CA,T6B_L5_CA,T6B_L6_CA,T6B_L7_CA,T6B_L7_CB,T6B_L8_CA,T6B_L8_CB,T6B_L9_CA,T6B_L9_CB,T6B_L10_CA,T6B_L10_CB,T6B_L10_CC,T6B_L11_CA,T6B_L11_CB,T6B_L11_CC,T6B_L12_CA,T6B_L12_CB,T6B_L12_CC,T6B_L13_CA,T6B_L13_CB,T6B_L13_CC,T6B_L14_CA,T6B_L14_CB,T6B_L14_CC,T6B_L15_CA,T6B_L15_CB,T6B_L15_CC,T6B_L16_CA,T6B_L16_CB,T6B_L16_CC
60E006DB-DD34-44E0-ACB3-BA8A2E910DFF,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,64,2865.342857142857,6078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
071EAC5E-0CBB-4F3E-835B-73BBF4F7F0ED,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.51428571428573,471,5911.714285714286,9196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEF33775-EB6E-4343-A4B6-88214DEF5884,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.6,224,1381.3714285714284,1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49CA24AC-26B0-4849-8EFA-5F6EB271C67C,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.0857142857143,201,635.8571428571428,4451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E5BD29E0-727E-449A-AB2C-DAA12F90A826,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.65714285714286,148,1181.5285714285712,4353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4441C9EE-FECC-4088-AF45-B1496AD26E78,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,211,1339,4021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC170049-0965-4030-88CE-F51026472629,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667.4571428571429,1198,8566.285714285714,10520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5C96EA48-6EAA-4C6D-AE55-D39F58966417,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390.8999999999999,1987,10215.457142857143,12329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B9510A72-E787-4F95-9333-A9AD5068DE10,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.4285714285713,1005,9570,9570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6FC7C9F1-3D49-4A02-A24A-8ADC8A4E010F,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.5571428571428,649,6489.257142857143,8412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573F618F-5869-45A8-B1CA-DA107F5E1DB6,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.7,241,1389.942857142857,4054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85DD5E5F-ED25-46B8-BA29-FF9FC6BF2EB8,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.21428571428572,125,3727.842857142857,6691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F6FAF3DA-55CD-45FF-AA0F-646470EFEC6A,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.2571428571429,1027,9090.714285714286,11570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433557D7-A562-4D99-B8C4-E7F057208C93,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048.642857142857,1385,2743.714285714286,6402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0DDE905D-7A67-4AAF-AF7E-5172E07B22E8,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.4285714285714,625,3092.442857142857,3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3D7FB900-02FC-4551-9B80-E3D9DACB3D0B,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,31,1042.2857142857142,2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E0380555-D7A6-47CE-9100-572E826CEBF5,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,38,1207.4857142857143,3842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E51C9C01-5DBF-47C4-AA0C-B3F8E6CAC21B,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71428571428572,120,1285.2857142857142,2999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84BBDEB7-B4D2-4E28-AF4A-7D1031719E42,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.24285714285715,223,1485.6,4333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EE80674E-9896-4A56-A5FC-1E2D26528DFB,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,252,1190,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
