BHCMIS.ID,Year,T3B_L1_CA,T3B_L2_CA,T3B_L3_CA,T3B_L4_CA,T3B_L5_CA,T3B_L6_CA,T3B_L7_CA,T3B_L8_CA,T3B_L1ACA,T3B_L1BCA,T3B_L1A_CA,T3B_L1B_CA,T3B_L1C_CA,T3B_L5A_CA,T3B_L5B_CA,T3B_L5C_CA,T3B_L9_CA,T3B_L10_CA,T3B_L11_CA,T3B_L12_CA,T3B_L1_CB,T3B_L1_CD,T3B_L2_CB,T3B_L2_CD,T3B_L2A_CA,T3B_L2A_CB,T3B_L2A_CD,T3B_L2B_CA,T3B_L2B_CB,T3B_L2B_CD,T3B_L3_CB,T3B_L3_CD,T3B_L4_CB,T3B_L4_CD,T3B_L5_CB,T3B_L5_CD,T3B_L6_CB,T3B_L6_CD,T3B_L7_CB,T3B_L7_CD,T3B_L8_CB,T3B_L8_CC,T3B_L8_CD,T3B_L7_CC
1331,2010,31,26,1088,24,6935,382,732,9218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16054,630,661,62,88,24,33,57,2,29,31,2579,3667,56,80,9622,16557,124,506,90,956,13163,134,22515,134
1332,2010,0,0,1,1,200,0,172,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,2,2,0,1,1,0,1,1,19,20,48,49,484,684,1,1,34,253,594,47,1015,47
1333,2010,0,2,100,0,24,0,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,3,5,0,3,3,2,0,2,4576,4676,0,0,1697,1721,16,16,53,56,6345,0,6474,0
1334,2010,1,0,1,2,72,31,963,1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,4,5,2,2,0,2,2,0,0,0,8,9,15,17,1573,1645,63,94,12,977,1677,2,2749,2
1335,2010,0,27,1,2,41,4,41,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5,5,14,41,0,11,11,27,3,30,125,126,107,109,1705,1746,9,13,31,205,1996,133,2245,133
1336,2010,3,25,97,15,24388,32,828,25388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14369,141,144,30,55,1,0,1,24,30,54,3127,3224,15,30,2683,27071,65,97,160,3592,6221,2604,34213,2604
1337,2010,0,0,2,0,17,3,6332,6354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6354,454,454,131,131,0,68,68,0,63,63,4947,4949,38,38,13216,13233,1780,1783,7653,14013,28219,28,34601,28
1338,2010,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,0,0,0,0,0,0,0,1693,1693,3,3,9,9,0,0,0,1,1708,1,1709,1
1339,2010,0,0,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,0,0,0,0,0,0,0,0,18,18,11,11,3627,3627,3,5,3,13,3669,10,3681,10
1340,2010,0,1,2,0,1,12,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,2,3,0,0,0,1,2,3,2756,2758,0,0,17,18,2,14,0,34,2782,34,2832,34
1341,2010,0,0,3,0,320,0,0,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,35,35,0,0,0,0,0,0,0,0,3725,3728,1,1,3145,3465,9,9,0,56,6915,56,7294,56
1342,2010,14,0,7,3,17141,3,9,17177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,515,529,35,35,0,0,0,0,35,35,423,430,8,11,2900,20041,18,21,36,45,3935,0,21112,0
1343,2010,0,0,0,0,28452,0,0,28452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14618,239,239,21,21,0,0,0,0,21,21,103,103,53,53,964,29416,0,0,0,4815,1380,4815,34647,4815
1344,2010,0,0,0,0,1557,0,3496,5053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4047,62,62,0,0,0,0,0,0,0,0,213,213,9,9,890,2447,0,0,0,3496,1174,0,6227,0
1345,2010,0,0,0,0,43,0,666,709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,157,157,36,36,0,33,33,0,3,3,27520,27520,71,71,8493,8536,10,10,53,1671,36340,952,38001,952
1346,2010,6,9,27,47,2660,91,1046,3886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2480,201,207,50,59,5,11,16,4,39,43,229,256,207,254,10564,13224,462,553,496,3158,12209,1616,17711,1616
1347,2010,1,0,17,1,25,16,1762,1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2235,178,179,13,13,0,11,11,0,2,2,3120,3137,64,65,3130,3155,137,153,314,3206,6956,1130,9908,1130
1348,2010,46,32,233,4,2104,32,1758,4209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3517,104,150,26,58,1,3,4,31,23,54,22897,23130,36,40,953,3057,18,50,955,4166,24989,1453,30651,1453
1349,2010,0,1,2,5,369,17,0,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,101,101,15,16,0,0,0,1,15,16,223,225,1767,1772,11257,11626,11,28,302,404,13676,102,14172,102
1350,2010,1,0,0,1,53,0,0,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,35,36,18,18,0,3,3,0,15,15,60,60,100,101,8607,8660,38,38,0,1157,8858,1157,10070,1157
1351,2010,0,0,0,0,2850,0,0,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4331,0,0,80,80,0,0,0,0,80,80,3,3,5,5,1621,4471,0,0,0,0,1709,0,4559,0
1352,2010,79,48,287,264,1875,7962,8875,19390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12330,1551,1630,247,295,11,57,68,37,190,227,5302,5589,352,616,26812,28687,1846,9808,3217,12092,39327,0,58717,0
1353,2010,0,0,2,3,9,0,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,32,32,4,4,0,3,3,0,1,1,20,22,1780,1783,640,649,0,0,0,127,2476,117,2617,117
1354,2010,0,0,0,0,903,0,0,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4405,89,89,0,0,0,0,0,0,0,0,342,342,23,23,10358,11261,14,14,2040,6625,12866,4585,18354,4585
1355,2010,0,0,2,0,5860,0,0,5862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2472,7,7,0,0,0,0,0,0,0,0,19,21,1,1,361,6221,1,1,8,9,397,1,6260,1
1356,2010,3,2,3,1,3632,2,33,3676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219,251,254,7,9,0,0,0,2,7,9,5057,5060,32,33,18481,22113,37,39,150,247,24015,64,27755,64
1357,2010,0,11,2,3,27,3,18,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,8,7,18,0,0,0,11,7,18,169,171,157,160,2057,2084,34,37,172,206,2604,16,2684,16
1358,2010,0,0,0,0,1310,0,26894,28204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23591,1295,1295,239,239,0,3,3,0,236,236,930,930,109,109,3387,4697,0,0,0,29521,5960,2627,36791,2627
1359,2010,0,0,0,0,13,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,0,0,0,0,0,0,1199,1199,0,0,8,21,0,0,0,0,1211,0,1224,0
1360,2010,0,0,71,0,8863,99,0,9033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9033,59,59,20,20,0,12,12,0,8,8,13515,13586,23,23,21805,30668,55,154,0,185,35477,185,44695,185
1361,2010,20,360,355,2,1212,30,439,2418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477,438,458,107,467,3,1,4,357,106,463,562,917,29,31,8539,9751,35,65,258,1455,9968,758,13144,758
1362,2010,2,0,16,2,23,0,69,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,24,26,3,3,0,3,3,0,0,0,2583,2599,5,7,1782,1805,0,0,68,405,4465,268,4845,268
1363,2010,0,1,6,1,24,1,55,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,31,31,3,4,1,0,1,0,3,3,36,42,30,31,5569,5593,16,17,72,1836,5757,1709,7554,1709
1364,2010,0,3,1,0,291,0,17,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,21,21,4,7,1,2,3,2,2,4,9,10,12,12,4948,5239,19,19,1,18,5014,0,5326,0
1365,2010,48,14,147,20,37871,101,8320,46521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44752,4273,4321,441,455,3,20,23,11,421,432,6662,6809,240,260,4856,42727,415,516,4732,13052,21619,0,68140,0
1366,2010,20,23,47,50,11127,552,4724,16543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13147,1020,1040,166,189,8,1,9,15,165,180,826,873,124,174,9831,20958,164,716,468,6449,12599,1257,30399,1257
1367,2010,0,0,2,2,40,0,42,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,17,17,8,8,0,4,4,0,4,4,45,47,67,69,4817,4857,0,0,9,542,4963,491,5540,491
1368,2010,0,4,4,1,66,2,978,1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,26,26,50,54,4,38,42,0,12,12,268,272,12,13,4670,4736,7,9,67,1355,5100,310,6465,310
1369,2010,0,0,0,0,3118,0,0,3118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,544,544,183,183,0,61,61,0,122,122,1031,1031,140,140,2769,5887,11,11,0,3341,4678,3341,11137,3341
